Entry	Entry Name	Protein names	Gene Names	Organism	Length	Virus hosts
A0A6H2EIN2	A0A6H2EIN2_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6H2L6Y7	A0A6H2L6Y7_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6H2LCL7	A0A6H2LCL7_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6H2TWZ5	A0A6H2TWZ5_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Canine respiratory coronavirus	1363	
A0A6H2TX52	A0A6H2TX52_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Canine respiratory coronavirus	1363	
A0A6H2TXT6	A0A6H2TXT6_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M2ZJ39	A0A6M2ZJ39_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A6M2ZKD1	A0A6M2ZKD1_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A6M3HLG5	A0A6M3HLG5_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M3SPN0	A0A6M3SPN0_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M3SQ48	A0A6M3SQ48_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M3U4F6	A0A6M3U4F6_SARS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	SARS coronavirus Urbani	1256	
A0A6M4AIH4	A0A6M4AIH4_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4B9C2	A0A6M4B9C2_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4BCC7	A0A6M4BCC7_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4N1Z2	A0A6M4N1Z2_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4N3U5	A0A6M4N3U5_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4N469	A0A6M4N469_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4N9C9	A0A6M4N9C9_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4NBR7	A0A6M4NBR7_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4NDS5	A0A6M4NDS5_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4NEC6	A0A6M4NEC6_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4SWN5	A0A6M4SWN5_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M4T375	A0A6M4T375_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M5A1K5	A0A6M5A1K5_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M5SX93	A0A6M5SX93_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M5WNN6	A0A6M5WNN6_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M6CD32	A0A6M6CD32_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Coronavirus BtRt-BetaCoV/GX2018	1272	
A0A6M6D6J7	A0A6M6D6J7_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M6D937	A0A6M6D937_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M6DCW9	A0A6M6DCW9_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M6IXH8	A0A6M6IXH8_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M6IYS1	A0A6M6IYS1_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M6M541	A0A6M6M541_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M6REN8	A0A6M6REN8_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M8FA80	A0A6M8FA80_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M8FBT0	A0A6M8FBT0_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M8WJY1	A0A6M8WJY1_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6M9TYL7	A0A6M9TYL7_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N0BZM6	A0A6N0BZM6_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N0C4S6	A0A6N0C4S6_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N0I6B2	A0A6N0I6B2_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N0W0B0	A0A6N0W0B0_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N1BWN9	A0A6N1BWN9_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N1NI41	A0A6N1NI41_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N1WAZ2	A0A6N1WAZ2_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N1WF48	A0A6N1WF48_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N1WID1	A0A6N1WID1_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6N1WLT2	A0A6N1WLT2_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A6P3CTT1	A0A6P3CTT1_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D3UWI6	A0A7D3UWI6_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Rousettus bat coronavirus GCCDC1	1290	
A0A7D3XT42	A0A7D3XT42_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D3YBD3	A0A7D3YBD3_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D4XSL8	A0A7D4XSL8_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D5BTZ9	A0A7D5BTZ9_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A7D5FBC1	A0A7D5FBC1_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A7D5FG54	A0A7D5FG54_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A7D5J875	A0A7D5J875_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A7D5J8P9	A0A7D5J8P9_MERS	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	1353	
A0A7D5JZ01	A0A7D5JZ01_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D5LG71	A0A7D5LG71_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D5R7V0	A0A7D5R7V0_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D5UC98	A0A7D5UC98_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D6P0R3	A0A7D6P0R3_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Pangolin coronavirus	1265	
A0A7D6PMV8	A0A7D6PMV8_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Pangolin coronavirus	1265	
A0A7D6TQ96	A0A7D6TQ96_9BETC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Pangolin coronavirus	1265	
A0A7D7CGJ9	A0A7D7CGJ9_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D7CLY6	A0A7D7CLY6_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D7KRT4	A0A7D7KRT4_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D7KWC0	A0A7D7KWC0_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D7NHI9	A0A7D7NHI9_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D7NUV9	A0A7D7NUV9_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D7U4Z8	A0A7D7U4Z8_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D7W9F8	A0A7D7W9F8_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1233	Homo sapiens (Human) [TaxID: 9606]
A0A7D7WB14	A0A7D7WB14_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D7Z2H2	A0A7D7Z2H2_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D8AAM9	A0A7D8AAM9_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D8AIA7	A0A7D8AIA7_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D8AIW5	A0A7D8AIW5_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1273	Homo sapiens (Human) [TaxID: 9606]
A0A7D8AJB5	A0A7D8AJB5_SARS2	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	1272	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW04	A0A7G1CW04_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1351	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW09	A0A7G1CW09_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1351	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW15	A0A7G1CW15_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1351	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW16	A0A7G1CW16_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1352	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW18	A0A7G1CW18_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1355	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW24	A0A7G1CW24_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1352	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW26	A0A7G1CW26_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1351	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW27	A0A7G1CW27_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1352	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW31	A0A7G1CW31_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1356	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CW39	A0A7G1CW39_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1352	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CWI9	A0A7G1CWI9_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1356	Homo sapiens (Human) [TaxID: 9606]
A0A7G1CWJ8	A0A7G1CWJ8_CVHK1	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	S	Human coronavirus HKU1 (HCoV-HKU1)	1351	Homo sapiens (Human) [TaxID: 9606]
